DATA_ALERTA,NUM_UC,GRUPO_UC,TIPO_ALERTA,CAMPO,VALOR_ANTERIOR,VALOR_NOVO,DETALHE,ARQUIVO_ORIGEM
2026-06-01,88811220,Tratamento,Alteração GD,GD_BENE_INIC,,2026-06-01,Evento de GD datado desde o início do experimento.,mdm-sandbox_clientes_novo-20260719-20260719.csv
2026-06-01,88946185,Tratamento,Alteração GD,GD_BENE_INIC,,2026-06-01,Evento de GD datado desde o início do experimento.,mdm-sandbox_clientes_novo-20260719-20260719.csv
2026-06-01,90216806,Tratamento,Alteração GD,GD_BENE_INIC,,2026-06-01,Evento de GD datado desde o início do experimento.,mdm-sandbox_clientes_novo-20260714-20260714.csv
2026-06-01,99213451,Controle,Alteração GD,GD_BENE_INIC,,2026-06-01,Evento de GD datado desde o início do experimento.,mdm-sandbox_clientes_novo-20260719-20260719.csv
2026-06-04,112453570,Controle,Mudança de Titularidade,MUD_TIT,,2026-06-04,Mudança de titularidade registrada desde o início do experimento.,mdm-sandbox_clientes_novo-20260719-20260719.csv
2026-06-19,7128118,Controle,Mudança de Titularidade,MUD_TIT,,2026-06-19,Mudança de titularidade registrada desde o início do experimento.,mdm-sandbox_clientes_novo-20260719-20260719.csv
2026-06-30,106318284,Tratamento,Mudança de Titularidade,MUD_TIT,,2026-06-30,Mudança de titularidade registrada desde o início do experimento.,mdm-sandbox_clientes_novo-20260719-20260719.csv
2026-07-01,10551182,Tratamento,Alteração GD,GD_BENE_INIC,,2026-07-01,Evento de GD datado desde o início do experimento.,mdm-sandbox_clientes_novo-20260719-20260719.csv
2026-07-01,106306766,Tratamento,Alteração GD,GD_BENE_INIC,,2026-07-01,Evento de GD datado desde o início do experimento.,mdm-sandbox_clientes_novo-20260719-20260719.csv
2026-07-01,108430766,Controle,Alteração GD,GD_BENE_FIM,,2026-07-01,Informação de geração distribuída alterada.,mdm-sandbox_clientes_novo-20260719-20260719.csv
2026-07-01,110995996,Tratamento,Desligamento,SITUACAO_UC,,CR,Corte registrado desde o início do experimento.,mdm-sandbox_clientes_novo-20260719-20260719.csv
2026-07-01,113440944,Controle,Alteração GD,GD_BENE_INIC,,2026-07-01,Evento de GD datado desde o início do experimento.,mdm-sandbox_clientes_novo-20260719-20260719.csv
2026-07-01,23678593,Tratamento,Alteração GD,GD_BENE_INIC,,2026-07-01,Evento de GD datado desde o início do experimento.,mdm-sandbox_clientes_novo-20260719-20260719.csv
2026-07-01,29684030,Controle,Alteração GD,GD_BENE_FIM,,2026-07-01,Evento de GD datado desde o início do experimento.,mdm-sandbox_clientes_novo-20260719-20260719.csv
2026-07-01,29684030,Controle,Alteração GD,GD_BENE_INIC,,2026-07-01,Evento de GD datado desde o início do experimento.,mdm-sandbox_clientes_novo-20260719-20260719.csv
2026-07-01,39078655,Controle,Alteração GD,GD_BENE_FIM,,2026-07-01,Evento de GD datado desde o início do experimento.,mdm-sandbox_clientes_novo-20260719-20260719.csv
2026-07-01,39078655,Controle,Alteração GD,GD_BENE_INIC,,2026-07-01,Evento de GD datado desde o início do experimento.,mdm-sandbox_clientes_novo-20260719-20260719.csv
2026-07-01,44649444,Controle,Alteração GD,GD_BENE_INIC,,2026-07-01,Evento de GD datado desde o início do experimento.,mdm-sandbox_clientes_novo-20260706-20260706.csv
2026-07-01,78620929,Controle,Alteração GD,GD_BENE_INIC,,2026-07-01,Evento de GD datado desde o início do experimento.,mdm-sandbox_clientes_novo-20260719-20260719.csv
2026-07-01,89911369,Controle,Alteração GD,GD_BENE_INIC,,2026-07-01,Evento de GD datado desde o início do experimento.,mdm-sandbox_clientes_novo-20260719-20260719.csv
2026-07-01,90659066,Controle,Alteração GD,GD_BENE_INIC,,2026-07-01,Evento de GD datado desde o início do experimento.,mdm-sandbox_clientes_novo-20260719-20260719.csv
2026-07-01,91526370,Controle,Alteração GD,GD_BENE_INIC,,2026-07-01,Evento de GD datado desde o início do experimento.,mdm-sandbox_clientes_novo-20260719-20260719.csv
2026-07-01,9359117,Tratamento,Alteração GD,DATA_INICIO_GD,,2026-07-01,Evento de GD datado desde o início do experimento.,mdm-sandbox_clientes_novo-20260719-20260719.csv
