NUM_UC,NUM_UC_ANEEL,SITUACAO_INICIAL,SITUACAO_ATUAL,SITUACAO_UC,LOCAL,CLASSE,GRUPO,TIPO_FASE,ETAPA,DT_ATIVACAO,DT_DISTRATO,MOTIV_DIST,IND_SOLICITAÇAO,FINALIDADE,FABRI_VEIC,MODELO_VEIC,ANO_VEIC,TIPO_VEIC,MOTOR_VEIC,STATUS_VEIC,CAPACIDADE_VEIC,QTE_VEIC,PERCURSO_SEMANAL,FREQ_CARGA_RESIDENCIA,FREQ_CARGA_SEMANAL,FREQ_CARGA_MADRUGADA,LOCAL_RECARGA,ELETROPOSTO_COPEL,STATUS_WALLBOX,MARCA_WALLB,POT_WALLB,STATUS_PORTATIL,MARCA_PORTATIL,POT_PORTATIL,TARIFA_SOCIAL,TARIFA_BRANCA,GD_BENE_INIC,GD_BENE_FIM,TIPO_GD_BENE,DATA_INICIO_GD,DATA_FIM_GD,TIPO_GD_GERA,POSSUI_GD_CLIENTE,DT_SITUACAO_UC,DT_MUD_TIT,MUD_TIT
93877226,490306303103.0,Ativo,Ativo,LG,FAZENDA RIO GRANDE,B1,1.0,BI,11.0,2026-03-01,,,,Pessoal,BYD,Song Plus,2024.0,Carro,Hibrido,Proprio,Entre 21 e 40 kWh,1.0,100.0,Sempre,de 2 a 3 vezes por semana,Sempre,Residência;,S,N,,,S,BYD 7,entre 4 e 8 kW,N,N,,,,,,,N,2017-06-14,,
92156053,475654103190.0,Reserva,Reserva,LG,FOZ DO IGUACU,B1,1.0,BI,3.0,,,,,Trabalho,BYD,Dolphin GS,2024.0,Carro,Eletrico,Proprio,Entre 41 e 60 kWh,2.0,1000.0,Frequentemente,de 6 a 7 vezes por semana,Sempre,Residência;Shopping,S,S,BYD GS,entre 12 e 16 kW,S,ATM 7,entre 4 e 8 kW,N,N,2026-01-01,,,2026-01-01,,GDII,S,2021-01-20,,
96232790,511393203140.0,Controle,Controle,LG,PONTA GROSSA,B1,1.0,BI,11.0,2026-03-01,,,,Pessoal,BYD,Dolphin GS,2023.0,Carro,Eletrico,Proprio,Entre 41 e 60 kWh,1.0,800.0,Sempre,de 6 a 7 vezes por semana,Frequentemente,Residência;Eletroposto;,S,S,ZHIDA ZDA4,entre 4 e 8 kW,N,,,N,N,2025-05-01,,,2025-05-01,,GDII,S,2018-06-28,,
106186256,594542503123.0,Ativo,Ativo,LG,PORTO UNIAO,B1,1.0,BI,3.0,2026-03-01,,,,Trabalho,BYD,Dolphin GS,2023.0,Carro,Eletrico,Proprio,Não sei,1.0,300.0,Sempre,de 6 a 7 vezes por semana,Sempre,Residência,S,S,ZHIDA ZDA4,entre 4 e 8 kW,N,,,N,N,2022-10-01,,,2022-09-01,,GDI,S,2019-12-12,,
102666148,562703703189.0,Reserva,Reserva,LG,FRANCISCO BELTRAO,B1,1.0,BI,15.0,,,,,Trabalho,BYD,Dolphin Mini,2025.0,Carro,Eletrico,Proprio,Entre 21 e 40 kWh,2.0,1000.0,Frequentemente,de 6 a 7 vezes por semana,Frequentemente,Residência,S,S,BYD,entre 4 e 8 kW,N,,,N,N,2022-12-01,,,2022-12-01,,GDI,S,2026-04-22,,
88785122,442694003193.0,Ativo,Ativo,LG,FAZENDA RIO GRANDE,B1,1.0,BI,18.0,2026-03-01,,,,Trabalho,BYD,Dolphin Mini,2025.0,Carro,Eletrico,Proprio,Entre 21 e 40 kWh,1.0,1400.0,Sempre,de 6 a 7 vezes por semana,Frequentemente,Residência,N,S,BYD,entre 4 e 8 kW,N,,,N,N,2022-10-01,,,2022-10-01,,GDI,S,2013-04-26,,
88673987,12932903117.0,Ativo,Ativo,LG,COLOMBO,B1,1.0,BI,6.0,2026-03-01,,,,Pessoal,BYD,Dolphin Mini,2025.0,Carro,Eletrico,Proprio,Entre 21 e 40 kWh,1.0,250.0,Sempre,1 vez por semana ou menos,Frequentemente,Residência;,N,S,BYD,Não sei,N,,,N,N,,,,,,,N,2001-10-10,,
84197773,140460303176.0,Ativo,Ativo,LG,PONTA GROSSA,B1,1.0,BI,2.0,2026-03-01,,,,Trabalho,BYD,Dolphin GS,2024.0,Carro,Eletrico,Proprio,Entre 41 e 60 kWh,1.0,1500.0,Frequentemente,de 6 a 7 vezes por semana,Frequentemente,Residência,N,S,BYD,entre 4 e 8 kW,N,,,N,N,,,,,,,N,2012-11-21,,
95108980,499958603177.0,Reserva,Reserva,LG,FAZENDA RIO GRANDE,B1,1.0,BI,9.0,,,,,Trabalho,BYD,Dolphin GS,2024.0,Carro,Eletrico,Proprio,Entre 41 e 60 kWh,1.0,1.4,Sempre,de 6 a 7 vezes por semana,Sempre,Residência;Eletroposto,S,S,BYD,Não sei,N,,,N,N,2025-12-01,,,2025-12-01,,GDII,S,2023-08-07,,
40501523,137791003129.0,Ativo,Ativo,LG,CASCAVEL,B1,1.0,BI,7.0,2026-03-01,,,,Trabalho,BYD,Dolphin Mini,2024.0,Carro,Eletrico,Proprio,Entre 21 e 40 kWh,1.0,1750.0,Sempre,de 6 a 7 vezes por semana,Sempre,Residência,N,S,BYD,entre 4 e 8 kW,N,,,N,N,,,,,,,N,1999-07-12,,
36262471,272184403129.0,Ativo,Ativo,LG,CASCAVEL,B1,1.0,BI,16.0,2026-03-01,,,,Trabalho,BYD,Dolphin GS,2025.0,Carro,Eletrico,Proprio,Entre 41 e 60 kWh,2.0,1800.0,Sempre,de 6 a 7 vezes por semana,Sempre,Residência;Eletroposto;,S,S,BYD,entre 4 e 8 kW,N,,,N,N,2022-06-01,,,2022-06-01,,GDI,S,2004-06-01,,
89671660,261543903161.0,Reserva,Reserva,LG,CASCAVEL,B1,1.0,BI,1.0,,,,,Trabalho,BYD,Dolphin Mini,,Carro,Eletrico,Proprio,Entre 21 e 40 kWh,1.0,1.4,Sempre,de 6 a 7 vezes por semana,Frequentemente,Residência,S,S,BYD,Não sei,N,,,N,N,2026-02-01,,,2025-05-01,,GDII,S,2024-06-07,,
90860977,189430803186.0,Controle,Controle,LG,PATO BRANCO,B1,1.0,BI,16.0,2026-03-01,,,,Trabalho,BYD,Dolphin Mini,2025.0,Carro,Eletrico,Proprio,Entre 41 e 60 kWh,1.0,1000.0,Sempre,de 6 a 7 vezes por semana,Sempre,Carregador do prédio,N,S,BYD,entre 4 e 8 kW,N,,,N,N,,,,,,,N,2022-07-22,,
73130141,259177903145.0,Ativo,Ativo,LG,PINHAIS,B1,1.0,TR,14.0,2026-03-01,,,,Pessoal,BYD,Dolphin Mini,2025.0,Carro,Eletrico,Proprio,Não sei,1.0,150.0,Sempre,de 6 a 7 vezes por semana,Sempre,Residência,N,S,BYD,entre 4 e 8 kW,N,,,N,N,,,,,,,N,2007-03-22,,
90530055,290586103157.0,Reserva,Reserva,LG,SAO JOSE DOS PINHAIS,B1,1.0,BI,6.0,,,,,Trabalho,BYD,Dolphin,2024.0,Carro,Eletrico,Proprio,Entre 21 e 40 kWh,1.0,600.0,Frequentemente,de 4 a 5 vezes por semana,Frequentemente,Residência,N,S,BYD,entre 4 e 8 kW,N,,,N,N,2025-07-01,,,2025-07-01,,GDII,S,2012-09-18,,
74629565,164362003107.0,Controle,Controle,LG,SANTA TEREZINHA DE ITAIPU,B1,1.0,TR,13.0,2026-03-01,,,,Pessoal,BYD,Dolphin,,Carro,Eletrico,Proprio,Entre 41 e 60 kWh,2.0,600.0,Frequentemente,de 2 a 3 vezes por semana,Nunca,Residência;Eletroposto;,S,S,NeoCharge NC7,entre 4 e 8 kW,N,,,N,N,2024-10-01,,,2024-10-01,,GDI,S,2012-02-28,,
91337860,455497003110.0,Controle,Controle,LG,ARAUCARIA,B1,1.0,BI,5.0,2026-03-01,,,,Pessoal,BYD,Dolphin Plus,,Carro,Eletrico,Proprio,Entre 61 e 80 kWh,1.0,200.0,Frequentemente,1 vez por semana ou menos,Frequentemente,Residência;Eletroposto,S,S,BYD,entre 4 e 8 kW,N,,,N,N,2025-08-01,,,2025-08-01,,GDII,S,2015-08-18,,
94265127,491745503104.0,Ativo,Ativo,LG,PONTA GROSSA,B1,1.0,TR,2.0,2026-03-01,,,,Trabalho,BYD,Song Plus,,Carro,Hibrido,Proprio,Menor que 20 kWh,1.0,500.0,Sempre,de 6 a 7 vezes por semana,Sempre,Residência;,S,S,BYD AC,maior que 16 kW,N,,,N,N,,,,,,,N,2013-07-23,,
4295439,26382703180.0,Controle,Controle,LG,PONTA GROSSA,B1,1.0,BI,12.0,2026-03-01,,,,Trabalho,BYD,Dolphin GS,,Carro,Eletrico,Proprio,Entre 41 e 60 kWh,1.0,800.0,Sempre,de 4 a 5 vezes por semana,Sempre,Residência;Eletroposto,S,S,BYD LUXSHARE,maior que 16 kW,N,,,N,N,,,,,,,N,2020-11-16,,
103445781,569804403135.0,Ativo,Ativo,LG,FRANCISCO BELTRAO,B1,1.0,TR,11.0,2026-03-01,,,,Trabalho,BYD,Dolphin GS,2024.0,Carro,Eletrico,Proprio,Entre 41 e 60 kWh,2.0,1000.0,Sempre,de 6 a 7 vezes por semana,Sempre,Residência;Trabalho;,S,S,GWM ,entre 4 e 8 kW,N,,,N,N,2025-03-01,,,,,,N,2018-02-28,,
48061980,409149903135.0,Ativo,Ativo,LG,TEIXEIRA SOARES,B1,1.0,TR,1.0,2026-03-01,,,,Pessoal,BYD,Dolphin GS,,Carro,Eletrico,Proprio,Entre 41 e 60 kWh,1.0,800.0,Sempre,de 2 a 3 vezes por semana,Frequentemente,Residência;Eletroposto;Shopping,S,S,Evowatt Home,entre 4 e 8 kW,N,,,N,N,2026-03-01,,,2025-11-01,,GDI,S,2018-03-27,2025-10-15,
106318284,595749603171.0,Ativo,Ativo,LG,FOZ DO IGUACU,B1,1.0,BI,19.0,2026-03-01,,,,Pessoal,BYD,Song Pro,,Carro,Hibrido,Proprio,Menor que 20 kWh,1.0,200.0,Frequentemente,de 4 a 5 vezes por semana,Sempre,Residência;Shopping,N,S,Evinka RX,entre 8 e 12 kW,N,,,N,N,,,,,,,N,2022-10-05,2026-06-30,S
103218068,567782303195.0,Ativo,Ativo,LG,PONTA GROSSA,B1,1.0,BI,16.0,2026-03-01,,,,Trabalho,BYD,Dolphin GS,,Carro,Eletrico,Proprio,Entre 41 e 60 kWh,1.0,1000.0,Sempre,de 6 a 7 vezes por semana,Sempre,Residência,N,S,BYD,entre 4 e 8 kW,N,,,N,N,,,,,,,N,2018-01-05,,
47916303,102515503192.0,Ativo,Ativo,LG,CASCAVEL,B1,1.0,BI,18.0,2026-03-01,,,,Trabalho,BYD,Seal GS,,Carro,Eletrico,Proprio,Não sei,1.0,500.0,Frequentemente,de 2 a 3 vezes por semana,Frequentemente,Trabalho,N,S,Eletromar,entre 8 e 12 kW,N,,,N,N,,,,,,,N,2017-06-16,2026-01-12,
98367234,463368403110.0,Controle,Controle,LG,PALMEIRA,B1,1.0,TR,4.0,2026-03-01,,,,Pessoal,BYD,Yuan Plus,,Carro,Eletrico,Proprio,Entre 61 e 80 kWh,1.0,600.0,Sempre,de 4 a 5 vezes por semana,Sempre,Residência;Shopping;Eletroposto;,S,S,Duosida SES 32,entre 4 e 8 kW,N,,,N,N,,,,,,,N,2017-10-06,,
98594931,536503003106.0,Ativo,Ativo,LG,CARAMBEI,B1,1.0,TR,9.0,2026-03-01,,,,Pessoal,BYD,King,,Carro,Hibrido,Proprio,Entre 41 e 60 kWh,1.0,200.0,Frequentemente,de 4 a 5 vezes por semana,Frequentemente,Residência,N,S,BYD,entre 4 e 8 kW,N,,,N,N,,,,,,,N,2019-05-17,,
93791992,487489003159.0,Ativo,Ativo,LG,FAZENDA RIO GRANDE,B1,1.0,BI,8.0,2026-03-01,,,,Pessoal,BYD,Dolphin Mini,2024.0,Carro,Eletrico,Proprio,Entre 21 e 40 kWh,1.0,500.0,Sempre,de 2 a 3 vezes por semana,Frequentemente,Residência,N,S,BYD,entre 4 e 8 kW,N,,,N,N,,,,,,,N,2013-05-03,,
92657524,476445603183.0,Ativo,Ativo,LG,FAZENDA RIO GRANDE,B1,1.0,BI,10.0,2026-03-01,,,,Trabalho,BYD,Dolphin GS,,Carro,Eletrico,Proprio,Entre 41 e 60 kWh,1.0,1000.0,Sempre,de 4 a 5 vezes por semana,Frequentemente,Residência,S,S,BYD,entre 4 e 8 kW,N,,,N,N,2022-07-01,,,2022-07-01,,GDI,S,2015-04-25,,
88170306,435759203170.0,Controle,Controle,LG,FOZ DO IGUACU,B1,1.0,BI,16.0,2026-03-01,,,,Pessoal,BYD,Dolphin GS,2024.0,Carro,Eletrico,Proprio,Entre 41 e 60 kWh,1.0,350.0,Sempre,de 2 a 3 vezes por semana,Sempre,Residência,S,S,ZHIDA ZDA4,entre 4 e 8 kW,N,,,N,N,2025-03-01,,,2025-03-01,,GDI,S,2021-05-29,,
74496751,315325403123.0,Controle,Controle,LG,SAO JOSE DOS PINHAIS,B1,1.0,BI,10.0,2026-03-01,,,,Trabalho,BYD,Dolphin GS,,Carro,Eletrico,Proprio,Entre 41 e 60 kWh,1.0,1500.0,Sempre,de 6 a 7 vezes por semana,Sempre,Residência,S,S,BYD GS,maior que 16 kW,N,,,N,N,2025-08-01,,,2025-08-01,,GDII,S,2012-07-23,,
7128118,419015203138.0,Controle,Controle,LG,SAO JOSE DOS PINHAIS,B1,1.0,TR,8.0,2026-03-01,,,,Trabalho,BYD,Dolphin GS,2026.0,Carro,Eletrico,Proprio,Entre 41 e 60 kWh,1.0,1000.0,Sempre,de 6 a 7 vezes por semana,Sempre,Residência,N,S,BYD,entre 4 e 8 kW,N,,,N,N,,,,,,,N,2026-06-19,2026-06-19,S
73741736,33933303104.0,Ativo,Ativo,LG,SAO JOSE DOS PINHAIS,B1,1.0,TR,9.0,2026-03-01,,,,Pessoal,BYD,Dolphin Mini,2025.0,Carro,Eletrico,Proprio,Entre 21 e 40 kWh,1.0,400.0,Sempre,de 2 a 3 vezes por semana,Sempre,Residência;,S,S,BYD,entre 4 e 8 kW,N,,,N,N,,,,,,,N,2018-10-04,,
90659066,473064603127.0,Controle,Controle,LG,FAZENDA RIO GRANDE,B1,1.0,BI,11.0,2026-03-01,,,,Pessoal,BYD,Yuan Plus,2025.0,Carro,Eletrico,Proprio,Entre 41 e 60 kWh,1.0,300.0,Às vezes,de 2 a 3 vezes por semana,Sempre,Residência;,N,S,BYD,entre 4 e 8 kW,N,,,N,N,2026-08-01,,,,,,N,2012-07-24,2025-08-06,
81750161,366263703141.0,Ativo,Ativo,LG,PONTA GROSSA,B1,1.0,BI,19.0,2026-03-01,,,,Pessoal,BYD,Dolphin GS,2024.0,Carro,Eletrico,Proprio,Entre 41 e 60 kWh,1.0,350.0,Sempre,1 vez por semana ou menos,Frequentemente,Residência;,S,S,BYD,entre 4 e 8 kW,N,,,N,N,2022-04-01,,,2022-03-01,,GDI,S,2014-10-28,,
95051147,501633803102.0,Controle,Controle,LG,SAO JOSE DOS PINHAIS,B1,1.0,TR,9.0,2026-03-01,,,,Pessoal,BYD,Yuan Plus,,Carro,Eletrico,Proprio,Entre 41 e 60 kWh,1.0,450.0,Sempre,de 2 a 3 vezes por semana,Sempre,Residência;Eletroposto,S,S,BYD,entre 4 e 8 kW,N,,,N,N,2023-10-01,,,2023-10-01,,GDII,S,2022-03-03,,
72311673,101701403170.0,Controle,Controle,LG,CASCAVEL,B1,1.0,TR,6.0,2026-03-01,,,,Trabalho,BYD,Dolphin,2024.0,Carro,Eletrico,Proprio,Entre 41 e 60 kWh,1.0,240.0,Às vezes,de 6 a 7 vezes por semana,Sempre,Residência;Eletroposto,S,S,BYD,entre 4 e 8 kW,N,,,N,N,2023-12-01,,,2023-12-01,,GDII,S,2020-11-05,,
82739641,12818603120.0,Ativo,Ativo,LG,TOLEDO,B1,1.0,BI,17.0,2026-03-01,,,,Pessoal,BYD,Dolphin Mini,,Carro,Eletrico,Proprio,Entre 21 e 40 kWh,1.0,300.0,Sempre,1 vez por semana ou menos,Sempre,Residência,N,S,BYD ,entre 4 e 8 kW,N,,,N,N,2022-07-01,,,2022-07-01,,GDI,S,2002-02-01,,
66041813,118756403173.0,Ativo,Ativo,LG,LARANJEIRAS DO SUL,B1,1.0,BI,12.0,2026-03-01,,,,Pessoal,BYD,Song Plus,,Carro,Hibrido,Proprio,Entre 21 e 40 kWh,1.0,250.0,Sempre,de 6 a 7 vezes por semana,Sempre,Residência,S,S,BYD AC,entre 8 e 12 kW,N,,,N,N,,,,,,,N,1980-12-01,,
